"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__0","hour__1","hour__2","hour__3","hour__4","hour__5","hour__6","hour__7","hour__8","hour__9","hour__10","hour__11","hour__12","hour__13","hour__14","hour__15","hour__16","hour__17","hour__18","hour__19","hour__20","hour__21","hour__22","hour__23","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","1","2","3","4","5","6"
"147",3,"[2016-09-19 10:20:00,2016-09-19 10:40:00)",1,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,168,161,145,125,116,117
"152",3,"[2016-09-19 10:40:00,2016-09-19 11:00:00)",1,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,168,161,145,125,116,117
"157",3,"[2016-09-19 11:00:00,2016-09-19 11:20:00)",1,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,168,161,145,125,116,117
"162",3,"[2016-09-19 11:20:00,2016-09-19 11:40:00)",1,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,168,161,145,125,116,117
"167",3,"[2016-09-19 11:40:00,2016-09-19 12:00:00)",1,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1,168,161,145,125,116,117
"172",3,"[2016-09-19 12:00:00,2016-09-19 12:20:00)",1,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,168,161,145,125,116,117
"177",3,"[2016-09-19 12:20:00,2016-09-19 12:40:00)",1,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,87,85,73,72,73,94
"182",3,"[2016-09-19 12:40:00,2016-09-19 13:00:00)",1,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1,87,85,73,72,73,94
"187",3,"[2016-09-19 13:00:00,2016-09-19 13:20:00)",1,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,87,85,73,72,73,94
"192",3,"[2016-09-19 13:20:00,2016-09-19 13:40:00)",1,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,87,85,73,72,73,94
"197",3,"[2016-09-19 13:40:00,2016-09-19 14:00:00)",1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1,87,85,73,72,73,94
"202",3,"[2016-09-19 14:00:00,2016-09-19 14:20:00)",1,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,18,2.6,21.4,80,0,87,85,73,72,73,94
"207",3,"[2016-09-19 14:20:00,2016-09-19 14:40:00)",1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,18,2.6,21.4,80,0,86,94,91,110,100,95
"212",3,"[2016-09-19 14:40:00,2016-09-19 15:00:00)",1,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,18,2.6,21.4,80,0,86,94,91,110,100,95
"217",3,"[2016-09-19 15:00:00,2016-09-19 15:20:00)",1,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,18,2.6,21.4,80,0,86,94,91,110,100,95
"222",3,"[2016-09-19 15:20:00,2016-09-19 15:40:00)",1,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,18,2.6,21.4,80,0,86,94,91,110,100,95
"227",3,"[2016-09-19 15:40:00,2016-09-19 16:00:00)",1,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,18,2.6,21.4,80,0,86,94,91,110,100,95
"232",3,"[2016-09-19 16:00:00,2016-09-19 16:20:00)",1,101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,18,2.6,21.4,80,0,86,94,91,110,100,95
"237",3,"[2016-09-19 16:20:00,2016-09-19 16:40:00)",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,18,2.6,21.4,80,0,99,93,75,95,83,101
"242",3,"[2016-09-19 16:40:00,2016-09-19 17:00:00)",1,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,18,2.6,21.4,80,0,99,93,75,95,83,101
"247",3,"[2016-09-19 17:00:00,2016-09-19 17:20:00)",1,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,99,93,75,95,83,101
"252",3,"[2016-09-19 17:20:00,2016-09-19 17:40:00)",1,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,99,93,75,95,83,101
"257",3,"[2016-09-19 17:40:00,2016-09-19 18:00:00)",1,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,99,93,75,95,83,101
"262",3,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",1,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,99,93,75,95,83,101
"267",3,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",1,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,90,115,86,85,91,73
"272",3,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",1,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,90,115,86,85,91,73
"277",3,"[2016-09-19 19:00:00,2016-09-19 19:20:00)",1,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,90,115,86,85,91,73
"282",3,"[2016-09-19 19:20:00,2016-09-19 19:40:00)",1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,90,115,86,85,91,73
"287",3,"[2016-09-19 19:40:00,2016-09-19 20:00:00)",1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,90,115,86,85,91,73
"292",3,"[2016-09-19 20:00:00,2016-09-19 20:20:00)",1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1012,1017,319,2.7,19.1,75,0,90,115,86,85,91,73
"297",3,"[2016-09-19 20:20:00,2016-09-19 20:40:00)",1,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1012,1017,319,2.7,19.1,75,0,78,77,44,45,46,32
"302",3,"[2016-09-19 20:40:00,2016-09-19 21:00:00)",1,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1012,1017,319,2.7,19.1,75,0,78,77,44,45,46,32
"307",3,"[2016-09-19 21:00:00,2016-09-19 21:20:00)",1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1012,1017,319,2.7,19.1,75,0,78,77,44,45,46,32
"312",3,"[2016-09-19 21:20:00,2016-09-19 21:40:00)",1,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1012,1017,319,2.7,19.1,75,0,78,77,44,45,46,32
"317",3,"[2016-09-19 21:40:00,2016-09-19 22:00:00)",1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1012,1017,319,2.7,19.1,75,0,78,77,44,45,46,32
"322",3,"[2016-09-19 22:00:00,2016-09-19 22:20:00)",1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1012,1017,319,2.7,19.1,75,0,78,77,44,45,46,32
"327",3,"[2016-09-19 22:20:00,2016-09-19 22:40:00)",1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1012,1017,319,2.7,19.1,75,0,40,42,30,37,33,16
"332",3,"[2016-09-19 22:40:00,2016-09-19 23:00:00)",1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1012,1017,319,2.7,19.1,75,0,40,42,30,37,33,16
"337",3,"[2016-09-19 23:00:00,2016-09-19 23:20:00)",1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0,40,42,30,37,33,16
"342",3,"[2016-09-19 23:20:00,2016-09-19 23:40:00)",1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0,40,42,30,37,33,16
"347",3,"[2016-09-19 23:40:00,2016-09-20 00:00:00)",1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0,40,42,30,37,33,16
"351",3,"[2016-09-20 00:00:00,2016-09-20 00:20:00)",1,231,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.2,1018.2,341,3.5,21.1,68,0,40,42,30,37,33,16
"356",3,"[2016-09-20 00:20:00,2016-09-20 00:40:00)",1,148,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.2,1018.2,341,3.5,21.1,68,0,13,21,7,11,16,231
"361",3,"[2016-09-20 00:40:00,2016-09-20 01:00:00)",1,92,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.2,1018.2,341,3.5,21.1,68,0,13,21,7,11,16,231
"365",3,"[2016-09-20 01:00:00,2016-09-20 01:20:00)",1,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.2,1018.2,341,3.5,21.1,68,0,13,21,7,11,16,231
"370",3,"[2016-09-20 01:20:00,2016-09-20 01:40:00)",1,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.2,1018.2,341,3.5,21.1,68,0,13,21,7,11,16,231
"374",3,"[2016-09-20 01:40:00,2016-09-20 02:00:00)",1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.2,1018.2,341,3.5,21.1,68,0,13,21,7,11,16,231
"378",3,"[2016-09-20 02:00:00,2016-09-20 02:20:00)",1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.5,1018.5,354,2.6,23.9,58,0,13,21,7,11,16,231
"382",3,"[2016-09-20 02:20:00,2016-09-20 02:40:00)",1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.5,1018.5,354,2.6,23.9,58,0,148,92,9,10,5,4
"386",3,"[2016-09-20 02:40:00,2016-09-20 03:00:00)",1,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.5,1018.5,354,2.6,23.9,58,0,148,92,9,10,5,4
"390",3,"[2016-09-20 03:00:00,2016-09-20 03:20:00)",1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.5,1018.5,354,2.6,23.9,58,0,148,92,9,10,5,4
"394",3,"[2016-09-20 03:20:00,2016-09-20 03:40:00)",1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.5,1018.5,354,2.6,23.9,58,0,148,92,9,10,5,4
"398",3,"[2016-09-20 03:40:00,2016-09-20 04:00:00)",1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.5,1018.5,354,2.6,23.9,58,0,148,92,9,10,5,4
"402",3,"[2016-09-20 04:00:00,2016-09-20 04:20:00)",1,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.5,1018.5,354,2.6,23.9,58,0,148,92,9,10,5,4
"406",3,"[2016-09-20 04:20:00,2016-09-20 04:40:00)",1,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.5,1018.5,354,2.6,23.9,58,0,4,8,6,3,6,6
"410",3,"[2016-09-20 04:40:00,2016-09-20 05:00:00)",1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.5,1018.5,354,2.6,23.9,58,0,4,8,6,3,6,6
"415",3,"[2016-09-20 05:00:00,2016-09-20 05:20:00)",1,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1012.2,1017.2,7,4.6,26.9,43,0,4,8,6,3,6,6
"420",3,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",1,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1012.2,1017.2,7,4.6,26.9,43,0,4,8,6,3,6,6
"425",3,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",1,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1012.2,1017.2,7,4.6,26.9,43,0,4,8,6,3,6,6
"430",3,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",1,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1012.2,1017.2,7,4.6,26.9,43,0,4,8,6,3,6,6
"435",3,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",1,43,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1012.2,1017.2,7,4.6,26.9,43,0,6,4,12,12,18,24
"440",3,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",1,66,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1012.2,1017.2,7,4.6,26.9,43,0,6,4,12,12,18,24
"445",3,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",1,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1012.2,1017.2,7,4.6,26.9,43,0,6,4,12,12,18,24
