"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__0","hour__1","hour__2","hour__3","hour__4","hour__5","hour__6","hour__7","hour__8","hour__9","hour__10","hour__11","hour__12","hour__13","hour__14","hour__15","hour__16","hour__17","hour__18","hour__19","hour__20","hour__21","hour__22","hour__23","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation"
"243",1,"[2016-09-19 17:00:00,2016-09-19 17:20:00)",0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0
"248",1,"[2016-09-19 17:20:00,2016-09-19 17:40:00)",0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0
"253",1,"[2016-09-19 17:40:00,2016-09-19 18:00:00)",0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0
"258",1,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0
"263",1,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0
"268",1,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0
"273",1,"[2016-09-19 19:00:00,2016-09-19 19:20:00)",0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0
"278",1,"[2016-09-19 19:20:00,2016-09-19 19:40:00)",0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0
"283",1,"[2016-09-19 19:40:00,2016-09-19 20:00:00)",0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0
"288",1,"[2016-09-19 20:00:00,2016-09-19 20:20:00)",0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1012,1017,319,2.7,19.1,75,0
"293",1,"[2016-09-19 20:20:00,2016-09-19 20:40:00)",0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1012,1017,319,2.7,19.1,75,0
"298",1,"[2016-09-19 20:40:00,2016-09-19 21:00:00)",0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1012,1017,319,2.7,19.1,75,0
"303",1,"[2016-09-19 21:00:00,2016-09-19 21:20:00)",0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1012,1017,319,2.7,19.1,75,0
"308",1,"[2016-09-19 21:20:00,2016-09-19 21:40:00)",0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1012,1017,319,2.7,19.1,75,0
"313",1,"[2016-09-19 21:40:00,2016-09-19 22:00:00)",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1012,1017,319,2.7,19.1,75,0
"318",1,"[2016-09-19 22:00:00,2016-09-19 22:20:00)",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1012,1017,319,2.7,19.1,75,0
"323",1,"[2016-09-19 22:20:00,2016-09-19 22:40:00)",0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1012,1017,319,2.7,19.1,75,0
"328",1,"[2016-09-19 22:40:00,2016-09-19 23:00:00)",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1012,1017,319,2.7,19.1,75,0
"333",1,"[2016-09-19 23:00:00,2016-09-19 23:20:00)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"338",1,"[2016-09-19 23:20:00,2016-09-19 23:40:00)",0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"343",1,"[2016-09-19 23:40:00,2016-09-20 00:00:00)",0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0
"348",1,"[2016-09-20 00:00:00,2016-09-20 00:20:00)",0,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.2,1018.2,341,3.5,21.1,68,0
"352",1,"[2016-09-20 00:20:00,2016-09-20 00:40:00)",0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.2,1018.2,341,3.5,21.1,68,0
"357",1,"[2016-09-20 00:40:00,2016-09-20 01:00:00)",0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.2,1018.2,341,3.5,21.1,68,0
"362",1,"[2016-09-20 01:00:00,2016-09-20 01:20:00)",0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.2,1018.2,341,3.5,21.1,68,0
"366",1,"[2016-09-20 01:20:00,2016-09-20 01:40:00)",0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.2,1018.2,341,3.5,21.1,68,0
"371",1,"[2016-09-20 01:40:00,2016-09-20 02:00:00)",0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.2,1018.2,341,3.5,21.1,68,0
"375",1,"[2016-09-20 02:00:00,2016-09-20 02:20:00)",0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.5,1018.5,354,2.6,23.9,58,0
"379",1,"[2016-09-20 02:20:00,2016-09-20 02:40:00)",0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.5,1018.5,354,2.6,23.9,58,0
"383",1,"[2016-09-20 02:40:00,2016-09-20 03:00:00)",0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.5,1018.5,354,2.6,23.9,58,0
"387",1,"[2016-09-20 03:00:00,2016-09-20 03:20:00)",0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.5,1018.5,354,2.6,23.9,58,0
"391",1,"[2016-09-20 03:20:00,2016-09-20 03:40:00)",0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.5,1018.5,354,2.6,23.9,58,0
"395",1,"[2016-09-20 03:40:00,2016-09-20 04:00:00)",0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.5,1018.5,354,2.6,23.9,58,0
"399",1,"[2016-09-20 04:00:00,2016-09-20 04:20:00)",0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.5,1018.5,354,2.6,23.9,58,0
"403",1,"[2016-09-20 04:20:00,2016-09-20 04:40:00)",0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.5,1018.5,354,2.6,23.9,58,0
"407",1,"[2016-09-20 04:40:00,2016-09-20 05:00:00)",0,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.5,1018.5,354,2.6,23.9,58,0
"411",1,"[2016-09-20 05:00:00,2016-09-20 05:20:00)",0,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1012.2,1017.2,7,4.6,26.9,43,0
"416",1,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1012.2,1017.2,7,4.6,26.9,43,0
"421",1,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1012.2,1017.2,7,4.6,26.9,43,0
"426",1,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1012.2,1017.2,7,4.6,26.9,43,0
"431",1,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1012.2,1017.2,7,4.6,26.9,43,0
"436",1,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1012.2,1017.2,7,4.6,26.9,43,0
"441",1,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1012.2,1017.2,7,4.6,26.9,43,0
"446",1,"[2016-09-20 07:20:00,2016-09-20 07:40:00)",0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1012.2,1017.2,7,4.6,26.9,43,0
"451",1,"[2016-09-20 07:40:00,2016-09-20 08:00:00)",0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1012.2,1017.2,7,4.6,26.9,43,0
"456",1,"[2016-09-20 08:00:00,2016-09-20 08:20:00)",0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1012.6,1017.6,11,4.5,25.4,42,0
"461",1,"[2016-09-20 08:20:00,2016-09-20 08:40:00)",0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1012.6,1017.6,11,4.5,25.4,42,0
"466",1,"[2016-09-20 08:40:00,2016-09-20 09:00:00)",0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1012.6,1017.6,11,4.5,25.4,42,0
"471",1,"[2016-09-20 09:00:00,2016-09-20 09:20:00)",0,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1012.6,1017.6,11,4.5,25.4,42,0
"476",1,"[2016-09-20 09:20:00,2016-09-20 09:40:00)",0,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1012.6,1017.6,11,4.5,25.4,42,0
"481",1,"[2016-09-20 09:40:00,2016-09-20 10:00:00)",0,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1012.6,1017.6,11,4.5,25.4,42,0
