"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__0","hour__1","hour__2","hour__3","hour__4","hour__5","hour__6","hour__7","hour__8","hour__9","hour__10","hour__11","hour__12","hour__13","hour__14","hour__15","hour__16","hour__17","hour__18","hour__19","hour__20","hour__21","hour__22","hour__23","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","1","2","3","4","5","6","1","2","3","4","5","6"
"88",1,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0,10,13,12,2,8,13,10,13,12,2,8,13
"93",1,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0,10,13,12,2,8,13,10,13,12,2,8,13
"98",1,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0,10,13,12,2,8,13,10,13,12,2,8,13
"103",1,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0,10,13,12,2,8,13,10,13,12,2,8,13
"108",1,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,8,13,32,39,31,43,8,13,32,39,31,43
"113",1,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,8,13,32,39,31,43,8,13,32,39,31,43
"118",1,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,8,13,32,39,31,43,8,13,32,39,31,43
"123",1,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,8,13,32,39,31,43,8,13,32,39,31,43
"128",1,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,8,13,32,39,31,43,8,13,32,39,31,43
"133",1,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,8,13,32,39,31,43,8,13,32,39,31,43
"138",1,"[2016-09-19 10:00:00,2016-09-19 10:20:00)",0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,46,56,41,50,49,44,46,56,41,50,49,44
"143",1,"[2016-09-19 10:20:00,2016-09-19 10:40:00)",0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,46,56,41,50,49,44,46,56,41,50,49,44
"148",1,"[2016-09-19 10:40:00,2016-09-19 11:00:00)",0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,46,56,41,50,49,44,46,56,41,50,49,44
"153",1,"[2016-09-19 11:00:00,2016-09-19 11:20:00)",0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,46,56,41,50,49,44,46,56,41,50,49,44
"158",1,"[2016-09-19 11:20:00,2016-09-19 11:40:00)",0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,46,56,41,50,49,44,46,56,41,50,49,44
"163",1,"[2016-09-19 11:40:00,2016-09-19 12:00:00)",0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1,46,56,41,50,49,44,46,56,41,50,49,44
"168",1,"[2016-09-19 12:00:00,2016-09-19 12:20:00)",0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,44,44,44,39,30,34,44,44,44,39,30,34
"173",1,"[2016-09-19 12:20:00,2016-09-19 12:40:00)",0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,44,44,44,39,30,34,44,44,44,39,30,34
"178",1,"[2016-09-19 12:40:00,2016-09-19 13:00:00)",0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1,44,44,44,39,30,34,44,44,44,39,30,34
"183",1,"[2016-09-19 13:00:00,2016-09-19 13:20:00)",0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,44,44,44,39,30,34,44,44,44,39,30,34
"188",1,"[2016-09-19 13:20:00,2016-09-19 13:40:00)",0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,44,44,44,39,30,34,44,44,44,39,30,34
"193",1,"[2016-09-19 13:40:00,2016-09-19 14:00:00)",0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1,44,44,44,39,30,34,44,44,44,39,30,34
"198",1,"[2016-09-19 14:00:00,2016-09-19 14:20:00)",0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,18,2.6,21.4,80,0,45,44,53,57,61,53,45,44,53,57,61,53
"203",1,"[2016-09-19 14:20:00,2016-09-19 14:40:00)",0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,18,2.6,21.4,80,0,45,44,53,57,61,53,45,44,53,57,61,53
"208",1,"[2016-09-19 14:40:00,2016-09-19 15:00:00)",0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,18,2.6,21.4,80,0,45,44,53,57,61,53,45,44,53,57,61,53
"213",1,"[2016-09-19 15:00:00,2016-09-19 15:20:00)",0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,18,2.6,21.4,80,0,45,44,53,57,61,53,45,44,53,57,61,53
"218",1,"[2016-09-19 15:20:00,2016-09-19 15:40:00)",0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,18,2.6,21.4,80,0,45,44,53,57,61,53,45,44,53,57,61,53
"223",1,"[2016-09-19 15:40:00,2016-09-19 16:00:00)",0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,18,2.6,21.4,80,0,45,44,53,57,61,53,45,44,53,57,61,53
"228",1,"[2016-09-19 16:00:00,2016-09-19 16:20:00)",0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,18,2.6,21.4,80,0,55,52,52,48,57,43,55,52,52,48,57,43
"233",1,"[2016-09-19 16:20:00,2016-09-19 16:40:00)",0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,18,2.6,21.4,80,0,55,52,52,48,57,43,55,52,52,48,57,43
"238",1,"[2016-09-19 16:40:00,2016-09-19 17:00:00)",0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,18,2.6,21.4,80,0,55,52,52,48,57,43,55,52,52,48,57,43
"243",1,"[2016-09-19 17:00:00,2016-09-19 17:20:00)",0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,55,52,52,48,57,43,55,52,52,48,57,43
"248",1,"[2016-09-19 17:20:00,2016-09-19 17:40:00)",0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,55,52,52,48,57,43,55,52,52,48,57,43
"253",1,"[2016-09-19 17:40:00,2016-09-19 18:00:00)",0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,55,52,52,48,57,43,55,52,52,48,57,43
"258",1,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,42,46,55,36,34,24,42,46,55,36,34,24
"263",1,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,42,46,55,36,34,24,42,46,55,36,34,24
"268",1,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,42,46,55,36,34,24,42,46,55,36,34,24
"273",1,"[2016-09-19 19:00:00,2016-09-19 19:20:00)",0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,42,46,55,36,34,24,42,46,55,36,34,24
"278",1,"[2016-09-19 19:20:00,2016-09-19 19:40:00)",0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,42,46,55,36,34,24,42,46,55,36,34,24
"283",1,"[2016-09-19 19:40:00,2016-09-19 20:00:00)",0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,42,46,55,36,34,24,42,46,55,36,34,24
"288",1,"[2016-09-19 20:00:00,2016-09-19 20:20:00)",0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1012,1017,319,2.7,19.1,75,0,29,27,18,13,22,27,29,27,18,13,22,27
"293",1,"[2016-09-19 20:20:00,2016-09-19 20:40:00)",0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1012,1017,319,2.7,19.1,75,0,29,27,18,13,22,27,29,27,18,13,22,27
"298",1,"[2016-09-19 20:40:00,2016-09-19 21:00:00)",0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1012,1017,319,2.7,19.1,75,0,29,27,18,13,22,27,29,27,18,13,22,27
"303",1,"[2016-09-19 21:00:00,2016-09-19 21:20:00)",0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1012,1017,319,2.7,19.1,75,0,29,27,18,13,22,27,29,27,18,13,22,27
"308",1,"[2016-09-19 21:20:00,2016-09-19 21:40:00)",0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1012,1017,319,2.7,19.1,75,0,29,27,18,13,22,27,29,27,18,13,22,27
"313",1,"[2016-09-19 21:40:00,2016-09-19 22:00:00)",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1012,1017,319,2.7,19.1,75,0,29,27,18,13,22,27,29,27,18,13,22,27
"318",1,"[2016-09-19 22:00:00,2016-09-19 22:20:00)",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1012,1017,319,2.7,19.1,75,0,17,16,17,17,22,5,17,16,17,17,22,5
"323",1,"[2016-09-19 22:20:00,2016-09-19 22:40:00)",0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1012,1017,319,2.7,19.1,75,0,17,16,17,17,22,5,17,16,17,17,22,5
"328",1,"[2016-09-19 22:40:00,2016-09-19 23:00:00)",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1012,1017,319,2.7,19.1,75,0,17,16,17,17,22,5,17,16,17,17,22,5
"333",1,"[2016-09-19 23:00:00,2016-09-19 23:20:00)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0,17,16,17,17,22,5,17,16,17,17,22,5
"338",1,"[2016-09-19 23:20:00,2016-09-19 23:40:00)",0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0,17,16,17,17,22,5,17,16,17,17,22,5
"343",1,"[2016-09-19 23:40:00,2016-09-20 00:00:00)",0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0,17,16,17,17,22,5,17,16,17,17,22,5
"348",1,"[2016-09-20 00:00:00,2016-09-20 00:20:00)",0,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.2,1018.2,341,3.5,21.1,68,0,4,9,3,1,7,6,4,9,3,1,7,6
"352",1,"[2016-09-20 00:20:00,2016-09-20 00:40:00)",0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.2,1018.2,341,3.5,21.1,68,0,4,9,3,1,7,6,4,9,3,1,7,6
"357",1,"[2016-09-20 00:40:00,2016-09-20 01:00:00)",0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.2,1018.2,341,3.5,21.1,68,0,4,9,3,1,7,6,4,9,3,1,7,6
"362",1,"[2016-09-20 01:00:00,2016-09-20 01:20:00)",0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.2,1018.2,341,3.5,21.1,68,0,4,9,3,1,7,6,4,9,3,1,7,6
"366",1,"[2016-09-20 01:20:00,2016-09-20 01:40:00)",0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.2,1018.2,341,3.5,21.1,68,0,4,9,3,1,7,6,4,9,3,1,7,6
"371",1,"[2016-09-20 01:40:00,2016-09-20 02:00:00)",0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.2,1018.2,341,3.5,21.1,68,0,4,9,3,1,7,6,4,9,3,1,7,6
"375",1,"[2016-09-20 02:00:00,2016-09-20 02:20:00)",0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.5,1018.5,354,2.6,23.9,58,0,14,13,7,6,5,5,14,13,7,6,5,5
"379",1,"[2016-09-20 02:20:00,2016-09-20 02:40:00)",0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.5,1018.5,354,2.6,23.9,58,0,14,13,7,6,5,5,14,13,7,6,5,5
"383",1,"[2016-09-20 02:40:00,2016-09-20 03:00:00)",0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.5,1018.5,354,2.6,23.9,58,0,14,13,7,6,5,5,14,13,7,6,5,5
"387",1,"[2016-09-20 03:00:00,2016-09-20 03:20:00)",0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.5,1018.5,354,2.6,23.9,58,0,14,13,7,6,5,5,14,13,7,6,5,5
"391",1,"[2016-09-20 03:20:00,2016-09-20 03:40:00)",0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.5,1018.5,354,2.6,23.9,58,0,14,13,7,6,5,5,14,13,7,6,5,5
"395",1,"[2016-09-20 03:40:00,2016-09-20 04:00:00)",0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1013.5,1018.5,354,2.6,23.9,58,0,14,13,7,6,5,5,14,13,7,6,5,5
"399",1,"[2016-09-20 04:00:00,2016-09-20 04:20:00)",0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1013.5,1018.5,354,2.6,23.9,58,0,6,9,7,10,8,5,6,9,7,10,8,5
"403",1,"[2016-09-20 04:20:00,2016-09-20 04:40:00)",0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.5,1018.5,354,2.6,23.9,58,0,6,9,7,10,8,5,6,9,7,10,8,5
