,time_window,volume,hour__6,hour__7,hour__8,hour__9,hour__15,hour__16,hour__17,hour__18
99,"[2016-09-20 09:00:00,2016-09-20 09:20:00)",51,0,0,0,1,0,0,0,0
100,"[2016-09-20 09:20:00,2016-09-20 09:40:00)",68,0,0,0,1,0,0,0,0
101,"[2016-09-20 09:40:00,2016-09-20 10:00:00)",59,0,0,0,1,0,0,0,0
162,"[2016-09-21 06:00:00,2016-09-21 06:20:00)",36,1,0,0,0,0,0,0,0
163,"[2016-09-21 06:20:00,2016-09-21 06:40:00)",41,1,0,0,0,0,0,0,0
164,"[2016-09-21 06:40:00,2016-09-21 07:00:00)",75,1,0,0,0,0,0,0,0
165,"[2016-09-21 07:00:00,2016-09-21 07:20:00)",78,0,1,0,0,0,0,0,0
166,"[2016-09-21 07:20:00,2016-09-21 07:40:00)",84,0,1,0,0,0,0,0,0
167,"[2016-09-21 07:40:00,2016-09-21 08:00:00)",95,0,1,0,0,0,0,0,0
168,"[2016-09-21 08:00:00,2016-09-21 08:20:00)",122,0,0,1,0,0,0,0,0
169,"[2016-09-21 08:20:00,2016-09-21 08:40:00)",126,0,0,1,0,0,0,0,0
170,"[2016-09-21 08:40:00,2016-09-21 09:00:00)",77,0,0,1,0,0,0,0,0
171,"[2016-09-21 09:00:00,2016-09-21 09:20:00)",49,0,0,0,1,0,0,0,0
172,"[2016-09-21 09:20:00,2016-09-21 09:40:00)",55,0,0,0,1,0,0,0,0
173,"[2016-09-21 09:40:00,2016-09-21 10:00:00)",53,0,0,0,1,0,0,0,0
234,"[2016-09-22 06:00:00,2016-09-22 06:20:00)",6,1,0,0,0,0,0,0,0
235,"[2016-09-22 06:20:00,2016-09-22 06:40:00)",10,1,0,0,0,0,0,0,0
236,"[2016-09-22 06:40:00,2016-09-22 07:00:00)",36,1,0,0,0,0,0,0,0
237,"[2016-09-22 07:00:00,2016-09-22 07:20:00)",28,0,1,0,0,0,0,0,0
238,"[2016-09-22 07:20:00,2016-09-22 07:40:00)",40,0,1,0,0,0,0,0,0
239,"[2016-09-22 07:40:00,2016-09-22 08:00:00)",34,0,1,0,0,0,0,0,0
240,"[2016-09-22 08:00:00,2016-09-22 08:20:00)",50,0,0,1,0,0,0,0,0
241,"[2016-09-22 08:20:00,2016-09-22 08:40:00)",58,0,0,1,0,0,0,0,0
242,"[2016-09-22 08:40:00,2016-09-22 09:00:00)",51,0,0,1,0,0,0,0,0
243,"[2016-09-22 09:00:00,2016-09-22 09:20:00)",43,0,0,0,1,0,0,0,0
244,"[2016-09-22 09:20:00,2016-09-22 09:40:00)",52,0,0,0,1,0,0,0,0
245,"[2016-09-22 09:40:00,2016-09-22 10:00:00)",59,0,0,0,1,0,0,0,0
306,"[2016-09-23 06:00:00,2016-09-23 06:20:00)",12,1,0,0,0,0,0,0,0
307,"[2016-09-23 06:20:00,2016-09-23 06:40:00)",17,1,0,0,0,0,0,0,0
308,"[2016-09-23 06:40:00,2016-09-23 07:00:00)",32,1,0,0,0,0,0,0,0
309,"[2016-09-23 07:00:00,2016-09-23 07:20:00)",28,0,1,0,0,0,0,0,0
310,"[2016-09-23 07:20:00,2016-09-23 07:40:00)",41,0,1,0,0,0,0,0,0
311,"[2016-09-23 07:40:00,2016-09-23 08:00:00)",42,0,1,0,0,0,0,0,0
312,"[2016-09-23 08:00:00,2016-09-23 08:20:00)",49,0,0,1,0,0,0,0,0
313,"[2016-09-23 08:20:00,2016-09-23 08:40:00)",68,0,0,1,0,0,0,0,0
314,"[2016-09-23 08:40:00,2016-09-23 09:00:00)",50,0,0,1,0,0,0,0,0
315,"[2016-09-23 09:00:00,2016-09-23 09:20:00)",41,0,0,0,1,0,0,0,0
316,"[2016-09-23 09:20:00,2016-09-23 09:40:00)",52,0,0,0,1,0,0,0,0
317,"[2016-09-23 09:40:00,2016-09-23 10:00:00)",44,0,0,0,1,0,0,0,0
378,"[2016-09-24 06:00:00,2016-09-24 06:20:00)",8,1,0,0,0,0,0,0,0
379,"[2016-09-24 06:20:00,2016-09-24 06:40:00)",19,1,0,0,0,0,0,0,0
380,"[2016-09-24 06:40:00,2016-09-24 07:00:00)",24,1,0,0,0,0,0,0,0
381,"[2016-09-24 07:00:00,2016-09-24 07:20:00)",28,0,1,0,0,0,0,0,0
382,"[2016-09-24 07:20:00,2016-09-24 07:40:00)",33,0,1,0,0,0,0,0,0
383,"[2016-09-24 07:40:00,2016-09-24 08:00:00)",35,0,1,0,0,0,0,0,0
384,"[2016-09-24 08:00:00,2016-09-24 08:20:00)",43,0,0,1,0,0,0,0,0
385,"[2016-09-24 08:20:00,2016-09-24 08:40:00)",64,0,0,1,0,0,0,0,0
386,"[2016-09-24 08:40:00,2016-09-24 09:00:00)",71,0,0,1,0,0,0,0,0
387,"[2016-09-24 09:00:00,2016-09-24 09:20:00)",52,0,0,0,1,0,0,0,0
388,"[2016-09-24 09:20:00,2016-09-24 09:40:00)",68,0,0,0,1,0,0,0,0
389,"[2016-09-24 09:40:00,2016-09-24 10:00:00)",66,0,0,0,1,0,0,0,0
450,"[2016-09-25 06:00:00,2016-09-25 06:20:00)",10,1,0,0,0,0,0,0,0
451,"[2016-09-25 06:20:00,2016-09-25 06:40:00)",12,1,0,0,0,0,0,0,0
452,"[2016-09-25 06:40:00,2016-09-25 07:00:00)",26,1,0,0,0,0,0,0,0
453,"[2016-09-25 07:00:00,2016-09-25 07:20:00)",20,0,1,0,0,0,0,0,0
454,"[2016-09-25 07:20:00,2016-09-25 07:40:00)",22,0,1,0,0,0,0,0,0
455,"[2016-09-25 07:40:00,2016-09-25 08:00:00)",33,0,1,0,0,0,0,0,0
456,"[2016-09-25 08:00:00,2016-09-25 08:20:00)",35,0,0,1,0,0,0,0,0
457,"[2016-09-25 08:20:00,2016-09-25 08:40:00)",40,0,0,1,0,0,0,0,0
458,"[2016-09-25 08:40:00,2016-09-25 09:00:00)",50,0,0,1,0,0,0,0,0
459,"[2016-09-25 09:00:00,2016-09-25 09:20:00)",41,0,0,0,1,0,0,0,0
460,"[2016-09-25 09:20:00,2016-09-25 09:40:00)",42,0,0,0,1,0,0,0,0
461,"[2016-09-25 09:40:00,2016-09-25 10:00:00)",49,0,0,0,1,0,0,0,0
522,"[2016-09-26 06:00:00,2016-09-26 06:20:00)",13,1,0,0,0,0,0,0,0
523,"[2016-09-26 06:20:00,2016-09-26 06:40:00)",23,1,0,0,0,0,0,0,0
524,"[2016-09-26 06:40:00,2016-09-26 07:00:00)",39,1,0,0,0,0,0,0,0
525,"[2016-09-26 07:00:00,2016-09-26 07:20:00)",44,0,1,0,0,0,0,0,0
526,"[2016-09-26 07:20:00,2016-09-26 07:40:00)",39,0,1,0,0,0,0,0,0
527,"[2016-09-26 07:40:00,2016-09-26 08:00:00)",46,0,1,0,0,0,0,0,0
528,"[2016-09-26 08:00:00,2016-09-26 08:20:00)",49,0,0,1,0,0,0,0,0
529,"[2016-09-26 08:20:00,2016-09-26 08:40:00)",52,0,0,1,0,0,0,0,0
530,"[2016-09-26 08:40:00,2016-09-26 09:00:00)",45,0,0,1,0,0,0,0,0
531,"[2016-09-26 09:00:00,2016-09-26 09:20:00)",48,0,0,0,1,0,0,0,0
532,"[2016-09-26 09:20:00,2016-09-26 09:40:00)",52,0,0,0,1,0,0,0,0
533,"[2016-09-26 09:40:00,2016-09-26 10:00:00)",51,0,0,0,1,0,0,0,0
594,"[2016-09-27 06:00:00,2016-09-27 06:20:00)",12,1,0,0,0,0,0,0,0
595,"[2016-09-27 06:20:00,2016-09-27 06:40:00)",20,1,0,0,0,0,0,0,0
596,"[2016-09-27 06:40:00,2016-09-27 07:00:00)",35,1,0,0,0,0,0,0,0
597,"[2016-09-27 07:00:00,2016-09-27 07:20:00)",56,0,1,0,0,0,0,0,0
598,"[2016-09-27 07:20:00,2016-09-27 07:40:00)",50,0,1,0,0,0,0,0,0
599,"[2016-09-27 07:40:00,2016-09-27 08:00:00)",41,0,1,0,0,0,0,0,0
600,"[2016-09-27 08:00:00,2016-09-27 08:20:00)",60,0,0,1,0,0,0,0,0
601,"[2016-09-27 08:20:00,2016-09-27 08:40:00)",45,0,0,1,0,0,0,0,0
602,"[2016-09-27 08:40:00,2016-09-27 09:00:00)",64,0,0,1,0,0,0,0,0
603,"[2016-09-27 09:00:00,2016-09-27 09:20:00)",58,0,0,0,1,0,0,0,0
604,"[2016-09-27 09:20:00,2016-09-27 09:40:00)",65,0,0,0,1,0,0,0,0
605,"[2016-09-27 09:40:00,2016-09-27 10:00:00)",45,0,0,0,1,0,0,0,0
666,"[2016-09-28 06:00:00,2016-09-28 06:20:00)",30,1,0,0,0,0,0,0,0
667,"[2016-09-28 06:20:00,2016-09-28 06:40:00)",49,1,0,0,0,0,0,0,0
668,"[2016-09-28 06:40:00,2016-09-28 07:00:00)",50,1,0,0,0,0,0,0,0
669,"[2016-09-28 07:00:00,2016-09-28 07:20:00)",91,0,1,0,0,0,0,0,0
670,"[2016-09-28 07:20:00,2016-09-28 07:40:00)",74,0,1,0,0,0,0,0,0
671,"[2016-09-28 07:40:00,2016-09-28 08:00:00)",104,0,1,0,0,0,0,0,0
672,"[2016-09-28 08:00:00,2016-09-28 08:20:00)",128,0,0,1,0,0,0,0,0
673,"[2016-09-28 08:20:00,2016-09-28 08:40:00)",137,0,0,1,0,0,0,0,0
674,"[2016-09-28 08:40:00,2016-09-28 09:00:00)",104,0,0,1,0,0,0,0,0
675,"[2016-09-28 09:00:00,2016-09-28 09:20:00)",111,0,0,0,1,0,0,0,0
676,"[2016-09-28 09:20:00,2016-09-28 09:40:00)",121,0,0,0,1,0,0,0,0
677,"[2016-09-28 09:40:00,2016-09-28 10:00:00)",136,0,0,0,1,0,0,0,0
738,"[2016-09-29 06:00:00,2016-09-29 06:20:00)",4,1,0,0,0,0,0,0,0
739,"[2016-09-29 06:20:00,2016-09-29 06:40:00)",9,1,0,0,0,0,0,0,0
740,"[2016-09-29 06:40:00,2016-09-29 07:00:00)",18,1,0,0,0,0,0,0,0
741,"[2016-09-29 07:00:00,2016-09-29 07:20:00)",25,0,1,0,0,0,0,0,0
742,"[2016-09-29 07:20:00,2016-09-29 07:40:00)",30,0,1,0,0,0,0,0,0
743,"[2016-09-29 07:40:00,2016-09-29 08:00:00)",30,0,1,0,0,0,0,0,0
744,"[2016-09-29 08:00:00,2016-09-29 08:20:00)",41,0,0,1,0,0,0,0,0
745,"[2016-09-29 08:20:00,2016-09-29 08:40:00)",48,0,0,1,0,0,0,0,0
746,"[2016-09-29 08:40:00,2016-09-29 09:00:00)",50,0,0,1,0,0,0,0,0
747,"[2016-09-29 09:00:00,2016-09-29 09:20:00)",47,0,0,0,1,0,0,0,0
748,"[2016-09-29 09:20:00,2016-09-29 09:40:00)",40,0,0,0,1,0,0,0,0
749,"[2016-09-29 09:40:00,2016-09-29 10:00:00)",48,0,0,0,1,0,0,0,0
810,"[2016-09-30 06:00:00,2016-09-30 06:20:00)",10,1,0,0,0,0,0,0,0
811,"[2016-09-30 06:20:00,2016-09-30 06:40:00)",17,1,0,0,0,0,0,0,0
812,"[2016-09-30 06:40:00,2016-09-30 07:00:00)",24,1,0,0,0,0,0,0,0
813,"[2016-09-30 07:00:00,2016-09-30 07:20:00)",29,0,1,0,0,0,0,0,0
814,"[2016-09-30 07:20:00,2016-09-30 07:40:00)",31,0,1,0,0,0,0,0,0
815,"[2016-09-30 07:40:00,2016-09-30 08:00:00)",44,0,1,0,0,0,0,0,0
816,"[2016-09-30 08:00:00,2016-09-30 08:20:00)",46,0,0,1,0,0,0,0,0
817,"[2016-09-30 08:20:00,2016-09-30 08:40:00)",48,0,0,1,0,0,0,0,0
818,"[2016-09-30 08:40:00,2016-09-30 09:00:00)",47,0,0,1,0,0,0,0,0
819,"[2016-09-30 09:00:00,2016-09-30 09:20:00)",60,0,0,0,1,0,0,0,0
820,"[2016-09-30 09:20:00,2016-09-30 09:40:00)",61,0,0,0,1,0,0,0,0
821,"[2016-09-30 09:40:00,2016-09-30 10:00:00)",63,0,0,0,1,0,0,0,0
882,"[2016-10-01 06:00:00,2016-10-01 06:20:00)",213,1,0,0,0,0,0,0,0
883,"[2016-10-01 06:20:00,2016-10-01 06:40:00)",257,1,0,0,0,0,0,0,0
884,"[2016-10-01 06:40:00,2016-10-01 07:00:00)",275,1,0,0,0,0,0,0,0
885,"[2016-10-01 07:00:00,2016-10-01 07:20:00)",267,0,1,0,0,0,0,0,0
886,"[2016-10-01 07:20:00,2016-10-01 07:40:00)",244,0,1,0,0,0,0,0,0
887,"[2016-10-01 07:40:00,2016-10-01 08:00:00)",233,0,1,0,0,0,0,0,0
888,"[2016-10-01 08:00:00,2016-10-01 08:20:00)",217,0,0,1,0,0,0,0,0
889,"[2016-10-01 08:20:00,2016-10-01 08:40:00)",210,0,0,1,0,0,0,0,0
890,"[2016-10-01 08:40:00,2016-10-01 09:00:00)",198,0,0,1,0,0,0,0,0
891,"[2016-10-01 09:00:00,2016-10-01 09:20:00)",251,0,0,0,1,0,0,0,0
892,"[2016-10-01 09:20:00,2016-10-01 09:40:00)",249,0,0,0,1,0,0,0,0
893,"[2016-10-01 09:40:00,2016-10-01 10:00:00)",242,0,0,0,1,0,0,0,0
953,"[2016-10-02 06:00:00,2016-10-02 06:20:00)",64,1,0,0,0,0,0,0,0
954,"[2016-10-02 06:20:00,2016-10-02 06:40:00)",79,1,0,0,0,0,0,0,0
955,"[2016-10-02 06:40:00,2016-10-02 07:00:00)",73,1,0,0,0,0,0,0,0
956,"[2016-10-02 07:00:00,2016-10-02 07:20:00)",163,0,1,0,0,0,0,0,0
957,"[2016-10-02 07:20:00,2016-10-02 07:40:00)",164,0,1,0,0,0,0,0,0
958,"[2016-10-02 07:40:00,2016-10-02 08:00:00)",168,0,1,0,0,0,0,0,0
959,"[2016-10-02 08:00:00,2016-10-02 08:20:00)",203,0,0,1,0,0,0,0,0
960,"[2016-10-02 08:20:00,2016-10-02 08:40:00)",237,0,0,1,0,0,0,0,0
961,"[2016-10-02 08:40:00,2016-10-02 09:00:00)",277,0,0,1,0,0,0,0,0
962,"[2016-10-02 09:00:00,2016-10-02 09:20:00)",266,0,0,0,1,0,0,0,0
963,"[2016-10-02 09:20:00,2016-10-02 09:40:00)",271,0,0,0,1,0,0,0,0
964,"[2016-10-02 09:40:00,2016-10-02 10:00:00)",211,0,0,0,1,0,0,0,0
1384,"[2016-10-08 06:00:00,2016-10-08 06:20:00)",9,1,0,0,0,0,0,0,0
1385,"[2016-10-08 06:20:00,2016-10-08 06:40:00)",12,1,0,0,0,0,0,0,0
1386,"[2016-10-08 06:40:00,2016-10-08 07:00:00)",19,1,0,0,0,0,0,0,0
1387,"[2016-10-08 07:00:00,2016-10-08 07:20:00)",21,0,1,0,0,0,0,0,0
1388,"[2016-10-08 07:20:00,2016-10-08 07:40:00)",36,0,1,0,0,0,0,0,0
1389,"[2016-10-08 07:40:00,2016-10-08 08:00:00)",27,0,1,0,0,0,0,0,0
1390,"[2016-10-08 08:00:00,2016-10-08 08:20:00)",31,0,0,1,0,0,0,0,0
1391,"[2016-10-08 08:20:00,2016-10-08 08:40:00)",39,0,0,1,0,0,0,0,0
1392,"[2016-10-08 08:40:00,2016-10-08 09:00:00)",38,0,0,1,0,0,0,0,0
1393,"[2016-10-08 09:00:00,2016-10-08 09:20:00)",35,0,0,0,1,0,0,0,0
1394,"[2016-10-08 09:20:00,2016-10-08 09:40:00)",31,0,0,0,1,0,0,0,0
1395,"[2016-10-08 09:40:00,2016-10-08 10:00:00)",38,0,0,0,1,0,0,0,0
1455,"[2016-10-09 06:00:00,2016-10-09 06:20:00)",8,1,0,0,0,0,0,0,0
1456,"[2016-10-09 06:20:00,2016-10-09 06:40:00)",9,1,0,0,0,0,0,0,0
1457,"[2016-10-09 06:40:00,2016-10-09 07:00:00)",17,1,0,0,0,0,0,0,0
1458,"[2016-10-09 07:00:00,2016-10-09 07:20:00)",26,0,1,0,0,0,0,0,0
1459,"[2016-10-09 07:20:00,2016-10-09 07:40:00)",25,0,1,0,0,0,0,0,0
1460,"[2016-10-09 07:40:00,2016-10-09 08:00:00)",33,0,1,0,0,0,0,0,0
1461,"[2016-10-09 08:00:00,2016-10-09 08:20:00)",46,0,0,1,0,0,0,0,0
1462,"[2016-10-09 08:20:00,2016-10-09 08:40:00)",39,0,0,1,0,0,0,0,0
1463,"[2016-10-09 08:40:00,2016-10-09 09:00:00)",35,0,0,1,0,0,0,0,0
1464,"[2016-10-09 09:00:00,2016-10-09 09:20:00)",45,0,0,0,1,0,0,0,0
1465,"[2016-10-09 09:20:00,2016-10-09 09:40:00)",41,0,0,0,1,0,0,0,0
1466,"[2016-10-09 09:40:00,2016-10-09 10:00:00)",41,0,0,0,1,0,0,0,0
1526,"[2016-10-10 06:00:00,2016-10-10 06:20:00)",13,1,0,0,0,0,0,0,0
1527,"[2016-10-10 06:20:00,2016-10-10 06:40:00)",13,1,0,0,0,0,0,0,0
1528,"[2016-10-10 06:40:00,2016-10-10 07:00:00)",18,1,0,0,0,0,0,0,0
1529,"[2016-10-10 07:00:00,2016-10-10 07:20:00)",34,0,1,0,0,0,0,0,0
1530,"[2016-10-10 07:20:00,2016-10-10 07:40:00)",40,0,1,0,0,0,0,0,0
1531,"[2016-10-10 07:40:00,2016-10-10 08:00:00)",37,0,1,0,0,0,0,0,0
1532,"[2016-10-10 08:00:00,2016-10-10 08:20:00)",47,0,0,1,0,0,0,0,0
1533,"[2016-10-10 08:20:00,2016-10-10 08:40:00)",44,0,0,1,0,0,0,0,0
1534,"[2016-10-10 08:40:00,2016-10-10 09:00:00)",57,0,0,1,0,0,0,0,0
1535,"[2016-10-10 09:00:00,2016-10-10 09:20:00)",51,0,0,0,1,0,0,0,0
1536,"[2016-10-10 09:20:00,2016-10-10 09:40:00)",44,0,0,0,1,0,0,0,0
1537,"[2016-10-10 09:40:00,2016-10-10 10:00:00)",53,0,0,0,1,0,0,0,0
1598,"[2016-10-11 06:00:00,2016-10-11 06:20:00)",9,1,0,0,0,0,0,0,0
1599,"[2016-10-11 06:20:00,2016-10-11 06:40:00)",26,1,0,0,0,0,0,0,0
1600,"[2016-10-11 06:40:00,2016-10-11 07:00:00)",18,1,0,0,0,0,0,0,0
1601,"[2016-10-11 07:00:00,2016-10-11 07:20:00)",30,0,1,0,0,0,0,0,0
1602,"[2016-10-11 07:20:00,2016-10-11 07:40:00)",40,0,1,0,0,0,0,0,0
1603,"[2016-10-11 07:40:00,2016-10-11 08:00:00)",52,0,1,0,0,0,0,0,0
1604,"[2016-10-11 08:00:00,2016-10-11 08:20:00)",49,0,0,1,0,0,0,0,0
1605,"[2016-10-11 08:20:00,2016-10-11 08:40:00)",49,0,0,1,0,0,0,0,0
1606,"[2016-10-11 08:40:00,2016-10-11 09:00:00)",40,0,0,1,0,0,0,0,0
1607,"[2016-10-11 09:00:00,2016-10-11 09:20:00)",45,0,0,0,1,0,0,0,0
1608,"[2016-10-11 09:20:00,2016-10-11 09:40:00)",47,0,0,0,1,0,0,0,0
1609,"[2016-10-11 09:40:00,2016-10-11 10:00:00)",44,0,0,0,1,0,0,0,0
1670,"[2016-10-12 06:00:00,2016-10-12 06:20:00)",10,1,0,0,0,0,0,0,0
1671,"[2016-10-12 06:20:00,2016-10-12 06:40:00)",17,1,0,0,0,0,0,0,0
1672,"[2016-10-12 06:40:00,2016-10-12 07:00:00)",16,1,0,0,0,0,0,0,0
1673,"[2016-10-12 07:00:00,2016-10-12 07:20:00)",27,0,1,0,0,0,0,0,0
1674,"[2016-10-12 07:20:00,2016-10-12 07:40:00)",27,0,1,0,0,0,0,0,0
1675,"[2016-10-12 07:40:00,2016-10-12 08:00:00)",42,0,1,0,0,0,0,0,0
1676,"[2016-10-12 08:00:00,2016-10-12 08:20:00)",45,0,0,1,0,0,0,0,0
1677,"[2016-10-12 08:20:00,2016-10-12 08:40:00)",54,0,0,1,0,0,0,0,0
1678,"[2016-10-12 08:40:00,2016-10-12 09:00:00)",55,0,0,1,0,0,0,0,0
1679,"[2016-10-12 09:00:00,2016-10-12 09:20:00)",44,0,0,0,1,0,0,0,0
1680,"[2016-10-12 09:20:00,2016-10-12 09:40:00)",51,0,0,0,1,0,0,0,0
1681,"[2016-10-12 09:40:00,2016-10-12 10:00:00)",34,0,0,0,1,0,0,0,0
1742,"[2016-10-13 06:00:00,2016-10-13 06:20:00)",17,1,0,0,0,0,0,0,0
1743,"[2016-10-13 06:20:00,2016-10-13 06:40:00)",18,1,0,0,0,0,0,0,0
1744,"[2016-10-13 06:40:00,2016-10-13 07:00:00)",32,1,0,0,0,0,0,0,0
1745,"[2016-10-13 07:00:00,2016-10-13 07:20:00)",32,0,1,0,0,0,0,0,0
1746,"[2016-10-13 07:20:00,2016-10-13 07:40:00)",44,0,1,0,0,0,0,0,0
1747,"[2016-10-13 07:40:00,2016-10-13 08:00:00)",49,0,1,0,0,0,0,0,0
1748,"[2016-10-13 08:00:00,2016-10-13 08:20:00)",51,0,0,1,0,0,0,0,0
1749,"[2016-10-13 08:20:00,2016-10-13 08:40:00)",59,0,0,1,0,0,0,0,0
1750,"[2016-10-13 08:40:00,2016-10-13 09:00:00)",42,0,0,1,0,0,0,0,0
1751,"[2016-10-13 09:00:00,2016-10-13 09:20:00)",65,0,0,0,1,0,0,0,0
1752,"[2016-10-13 09:20:00,2016-10-13 09:40:00)",46,0,0,0,1,0,0,0,0
1753,"[2016-10-13 09:40:00,2016-10-13 10:00:00)",59,0,0,0,1,0,0,0,0
1814,"[2016-10-14 06:00:00,2016-10-14 06:20:00)",14,1,0,0,0,0,0,0,0
1815,"[2016-10-14 06:20:00,2016-10-14 06:40:00)",20,1,0,0,0,0,0,0,0
1816,"[2016-10-14 06:40:00,2016-10-14 07:00:00)",20,1,0,0,0,0,0,0,0
1817,"[2016-10-14 07:00:00,2016-10-14 07:20:00)",23,0,1,0,0,0,0,0,0
1818,"[2016-10-14 07:20:00,2016-10-14 07:40:00)",28,0,1,0,0,0,0,0,0
1819,"[2016-10-14 07:40:00,2016-10-14 08:00:00)",30,0,1,0,0,0,0,0,0
1820,"[2016-10-14 08:00:00,2016-10-14 08:20:00)",34,0,0,1,0,0,0,0,0
1821,"[2016-10-14 08:20:00,2016-10-14 08:40:00)",59,0,0,1,0,0,0,0,0
1822,"[2016-10-14 08:40:00,2016-10-14 09:00:00)",46,0,0,1,0,0,0,0,0
1823,"[2016-10-14 09:00:00,2016-10-14 09:20:00)",44,0,0,0,1,0,0,0,0
1824,"[2016-10-14 09:20:00,2016-10-14 09:40:00)",48,0,0,0,1,0,0,0,0
1825,"[2016-10-14 09:40:00,2016-10-14 10:00:00)",45,0,0,0,1,0,0,0,0
1886,"[2016-10-15 06:00:00,2016-10-15 06:20:00)",10,1,0,0,0,0,0,0,0
1887,"[2016-10-15 06:20:00,2016-10-15 06:40:00)",19,1,0,0,0,0,0,0,0
1888,"[2016-10-15 06:40:00,2016-10-15 07:00:00)",31,1,0,0,0,0,0,0,0
1889,"[2016-10-15 07:00:00,2016-10-15 07:20:00)",39,0,1,0,0,0,0,0,0
1890,"[2016-10-15 07:20:00,2016-10-15 07:40:00)",53,0,1,0,0,0,0,0,0
1891,"[2016-10-15 07:40:00,2016-10-15 08:00:00)",46,0,1,0,0,0,0,0,0
1892,"[2016-10-15 08:00:00,2016-10-15 08:20:00)",44,0,0,1,0,0,0,0,0
1893,"[2016-10-15 08:20:00,2016-10-15 08:40:00)",47,0,0,1,0,0,0,0,0
1894,"[2016-10-15 08:40:00,2016-10-15 09:00:00)",55,0,0,1,0,0,0,0,0
1895,"[2016-10-15 09:00:00,2016-10-15 09:20:00)",70,0,0,0,1,0,0,0,0
1896,"[2016-10-15 09:20:00,2016-10-15 09:40:00)",72,0,0,0,1,0,0,0,0
1897,"[2016-10-15 09:40:00,2016-10-15 10:00:00)",55,0,0,0,1,0,0,0,0
1958,"[2016-10-16 06:00:00,2016-10-16 06:20:00)",6,1,0,0,0,0,0,0,0
1959,"[2016-10-16 06:20:00,2016-10-16 06:40:00)",7,1,0,0,0,0,0,0,0
1960,"[2016-10-16 06:40:00,2016-10-16 07:00:00)",10,1,0,0,0,0,0,0,0
1961,"[2016-10-16 07:00:00,2016-10-16 07:20:00)",19,0,1,0,0,0,0,0,0
1962,"[2016-10-16 07:20:00,2016-10-16 07:40:00)",28,0,1,0,0,0,0,0,0
1963,"[2016-10-16 07:40:00,2016-10-16 08:00:00)",53,0,1,0,0,0,0,0,0
1964,"[2016-10-16 08:00:00,2016-10-16 08:20:00)",29,0,0,1,0,0,0,0,0
1965,"[2016-10-16 08:20:00,2016-10-16 08:40:00)",44,0,0,1,0,0,0,0,0
1966,"[2016-10-16 08:40:00,2016-10-16 09:00:00)",35,0,0,1,0,0,0,0,0
1967,"[2016-10-16 09:00:00,2016-10-16 09:20:00)",51,0,0,0,1,0,0,0,0
1968,"[2016-10-16 09:20:00,2016-10-16 09:40:00)",47,0,0,0,1,0,0,0,0
1969,"[2016-10-16 09:40:00,2016-10-16 10:00:00)",48,0,0,0,1,0,0,0,0
2030,"[2016-10-17 06:00:00,2016-10-17 06:20:00)",13,1,0,0,0,0,0,0,0
2031,"[2016-10-17 06:20:00,2016-10-17 06:40:00)",18,1,0,0,0,0,0,0,0
2032,"[2016-10-17 06:40:00,2016-10-17 07:00:00)",19,1,0,0,0,0,0,0,0
2033,"[2016-10-17 07:00:00,2016-10-17 07:20:00)",45,0,1,0,0,0,0,0,0
2034,"[2016-10-17 07:20:00,2016-10-17 07:40:00)",44,0,1,0,0,0,0,0,0
